sample_name,gso_category
فطيرة جبن بقدونس,Cereals; Legumes and their Products
فطيرة باذنجان,Cereals; Legumes and their Products
كورسان شيدر,Cereals; Legumes and their Products
كيك سباستيان,Cereals; Legumes and their Products
كيكة مانجا,Cereals; Legumes and their Products
مانشكينز كوكيز جليزد,Cereals; Legumes and their Products
شوكولاتة كيك,Cereals; Legumes and their Products
براوني شوكولاتة,Cereals; Legumes and their Products
كرانش شوكولاتة,Cereals; Legumes and their Products
سينابون رول,Cereals; Legumes and their Products
خبز مفرود ابيض,Cereals; Legumes and their Products
خبز محمرة,Ready to Eat Foods
كيكة اوريو,Ready to Eat Foods
تارت فراولة,Ready to Eat Foods
فطيرة عش البلبل,Cereals; Legumes and their Products
تشيز كيك توت احمر,Cereals; Legumes and their Products
كروسان جبنة مالحة,Cereals; Legumes and their Products
حلا قشطوطة,Cereals; Legumes and their Products
حلا كرانشي,Cereals; Legumes and their Products
حلا شوكولاتة بسكوت,Cereals; Legumes and their Products
براونيز,Cereals; Legumes and their Products
كلير شوكولاتة,Cereals; Legumes and their Products
كيك سان سبستيان,Cereals; Legumes and their Products
كيكة كراميل,Cereals; Legumes and their Products
كيك شوكليت,Cereals; Legumes and their Products
مافن شوكليت,Cereals; Legumes and their Products
فطيرة بيكان,Cereals; Legumes and their Products
كروسان جبن مع زعتر,Cereals; Legumes and their Products
كروسان شيدر,Cereals; Legumes and their Products
كيك براوني,Cereals; Legumes and their Products
كيك موز,Cereals; Legumes and their Products
حلا كيتو,Cereals; Legumes and their Products
جوز الهند,Fruit and Vegetables
حلا ياقلبوة,Cereals; Legumes and their Products
فطيرة ست كريمة,Cereals; Legumes and their Products
عجانة معمول,Environmental Swabs
حلا روز بيري مع كراميل,Cereals; Legumes and their Products
حلا شوكولاتة الدراق,Cereals; Legumes and their Products
حلا طبقات,Cereals; Legumes and their Products
حلا بالجوز الهند,Cereals; Legumes and their Products
حلا زبادي باتش,Cereals; Legumes and their Products
حلا ميني اكلير بستاشو,Cereals; Legumes and their Products
حلا ميني اكلير شوكولاته,Cereals; Legumes and their Products
حلا سلانكتية,Cereals; Legumes and their Products
حلا امبلية,Cereals; Legumes and their Products
حلا كرات,Cereals; Legumes and their Products
حلا كلير,Cereals; Legumes and their Products
حلا كريمة بالبر,Cereals; Legumes and their Products
حلا لايك حلا,Cereals; Legumes and their Products
حلا بسكوت اوريو,Cereals; Legumes and their Products
حلا منزلي,Cereals; Legumes and their Products
مسحه حافظه حلا (1),Environmental Swabs
مسحه حافظه حلا (2),Environmental Swabs
حلا اكلير,Cereals; Legumes and their Products
حلا توفي رفيف,Cereals; Legumes and their Products
حلا لوتس رفيف,Cereals; Legumes and their Products
حلا جالكسي رفيف,Cereals; Legumes and their Products
حلا نوتيلا رفيف,Cereals; Legumes and their Products
حلا توت رفيف,Cereals; Legumes and their Products
حلا اوريو رفيف,Cereals; Legumes and their Products
حلا خشخش رفيف,Cereals; Legumes and their Products
حلا فراولة رفيف,Cereals; Legumes and their Products
حلا برتقال رفيف,Cereals; Legumes and their Products
عصيدة - مطبوخة,Ready to Eat Foods
معصوب,Ready to Eat Foods
تشيزكيك توت,Cereals; Legumes and their Products
باف الفطر و الجبنة,Ready to Eat Foods
حلا توت,Cereals; Legumes and their Products
حلا كنادين مابيل,Cereals; Legumes and their Products
حلا مغطس بالفانيلا,Cereals; Legumes and their Products
حلا كيت كات,Cereals; Legumes and their Products
حلا شوكولاتة دبل,Cereals; Legumes and their Products
حلا انقلش كيك,Cereals; Legumes and their Products
حلا بدنق,Cereals; Legumes and their Products
مولتن كيك رد فلفت,Cereals; Legumes and their Products
فطيرة بالجبن,Ready to Eat Foods
فطيرة حلاوة طحينة,Ready to Eat Foods
فطيرة لوتس,Ready to Eat Foods
خبز بريوشة,Cereals; Legumes and their Products
شوكولاتة حليب مع كوكيز,Cereals; Legumes and their Products
حلا كوكيز شوكولاتة,Cereals; Legumes and their Products
حلا كوكيز فانيلا,Cereals; Legumes and their Products
جلي الفواكه حلا,"Jelly, Jam and Marmalade"
تشيز كيك توت بري حلا,Cereals; Legumes and their Products
تيشيز كيك شوكوتة,Cereals; Legumes and their Products
فطيرة لبنة بالزعتر والخيار,Ready to Eat Foods
فطيرة تركي,Ready to Eat Foods
فطيرة شيش طاووق,Ready to Eat Foods
فطيرة دجاج بالمايونيز,Ready to Eat Foods
كروسون جبنة فيتا,Cereals; Legumes and their Products
كورساون جبنة جودة,Cereals; Legumes and their Products
دونات نوتيلا بالزعتر,Cereals; Legumes and their Products
بيقل حلوم والبيستو,Ready to Eat Foods
كورسان كوكيز,Cereals; Legumes and their Products
كورسان فستق رول,Cereals; Legumes and their Products
ميني كورسان فيتا,Cereals; Legumes and their Products
كورسان لبنة زعتر,Cereals; Legumes and their Products
كيكة الغابة السوداء,Cereals; Legumes and their Products
كيكة الجزر,Cereals; Legumes and their Products
كيك سان سبيستان,Cereals; Legumes and their Products
كيكة كريم كراميل,Cereals; Legumes and their Products
سويت اونيو,Cereals; Legumes and their Products
دونت رد فلفلت,Cereals; Legumes and their Products
دونت بالفراولة,Cereals; Legumes and their Products
دونت بستاشيو مع كنافة,Cereals; Legumes and their Products
دونت ميني تشوروز,Cereals; Legumes and their Products
دونت كت كات,Cereals; Legumes and their Products
كيلر فرنسي,Cereals; Legumes and their Products
سويت رول,Cereals; Legumes and their Products
سباستيان,Cereals; Legumes and their Products
فطيرة جبن صغير,Ready to Eat Foods
حلا بودنق,Cereals; Legumes and their Products
قطع كيك شوكولاتة مع كريمة,Cereals; Legumes and their Products
قطع كيك فراولة,Cereals; Legumes and their Products
كيك جزر,Cereals; Legumes and their Products
