sample_name,gso_category
سلطة مشويات - بصل مع بقدونس,Ready to Eat Foods
سلطة زيادي بالخيار,Ready to Eat Foods
سلطة لبن بالخبز,Ready to Eat Foods
سلطة مشاوي بقدونس مع بصل,Ready to Eat Foods
سلطة زيتون اخضر,Ready to Eat Foods
سلطة مكدوس بالزيتون و الذرة,Ready to Eat Foods
سلطة بقدونس بالخيار,Ready to Eat Foods
سلطة لبن بالخيار و الجزر,Ready to Eat Foods
سلطة ساحوق بالجبن و الفلفل,Ready to Eat Foods
كشنة طماطم مع بصل,Ready to Eat Foods
سلطة خيار مع ملفوف,Ready to Eat Foods
سلطة مشوي (بقدونس مع بصل),Ready to Eat Foods
سلطة خيار بالفجل,Ready to Eat Foods
سلطة كوكو مولي,Ready to Eat Foods
سلطة بيردي,Ready to Eat Foods
سلطة باي نابل,Ready to Eat Foods
سلطة كوكومولي,Ready to Eat Foods
هريس,Ready to Eat Foods
سلطة جبنة بالشبت,Ready to Eat Foods
سلطة تيرمير حارة,Ready to Eat Foods
سلطة شلل مع زعتر,Ready to Eat Foods
سلطة جبن هنجاري بالزعتر,Ready to Eat Foods
سلطة مرتديلا (لحم +دجاج),Ready to Eat Foods
سلطة اسكندراني,Ready to Eat Foods
سلطة فيتا (عادي),Ready to Eat Foods
سلطة فيتا (حار),Ready to Eat Foods
سلطة مرتديلا (لحم + دجاج),Ready to Eat Foods
سلطة قريك بالجبنة,Ready to Eat Foods
سلطة مكس سي فور,Ready to Eat Foods
سلطة تايلاندي,Ready to Eat Foods
سلطة دجاج مع اناناس,Ready to Eat Foods
سلطة كيمو,Ready to Eat Foods
سلطة باستا مع تونة,Ready to Eat Foods
سلطة روبيان,Ready to Eat Foods
سلطة بحريات,Ready to Eat Foods
سلطة مكرونة (باستا),Ready to Eat Foods
ورق العنب,Ready to Eat Foods
سلطة كروسلو,Ready to Eat Foods
سلطة كينو,Ready to Eat Foods
سلطة مكسيكية مع لحم بقري,Ready to Eat Foods
سلطة لحم التايلاندية,Ready to Eat Foods
سلطة الفول,Ready to Eat Foods
سلطة شمندر بالطحنية,Ready to Eat Foods
سلطة فواكه مع سي فود,Ready to Eat Foods
سلطة جبنة حلومي,Ready to Eat Foods
سلطة هامور,Ready to Eat Foods
سلطة جبنة بيضاء مع فواكه,Ready to Eat Foods
سلطة امنت تال (جبن+فواكه),Ready to Eat Foods
سلطة جبنة كبترا,Ready to Eat Foods
سلطة جبنة مع فواكه,Ready to Eat Foods
سلطة باميا,Ready to Eat Foods
سلطة كوسة,Ready to Eat Foods
سلطة زهرة بالطحينة,Ready to Eat Foods
سلطة مصقع,Ready to Eat Foods
سلطة باذنجر,Ready to Eat Foods
سلطة حمص بالخضار,Ready to Eat Foods
سلطة نودلز,Ready to Eat Foods
سلطة تونة بالكافيار,Ready to Eat Foods
سلطة خضراء مع جوز الهند,Ready to Eat Foods
سلطة بازلاء مع جبنة,Ready to Eat Foods
سلطة قرع مع جبنة,Ready to Eat Foods
كينوا سلطة,Ready to Eat Foods
سلطة باذنجان مخلل,Ready to Eat Foods
سلطة بقدونس وجزر,Ready to Eat Foods
سلطة مرتديلا مكس بقري مع دجاج,Ready to Eat Foods
سلطة متبل حار,Ready to Eat Foods
سلطة تونة بالشطة,Ready to Eat Foods
سلطة لبن حار بالزبادي,Ready to Eat Foods
سلطة سيلانترو,Ready to Eat Foods
سلطة خيار و زبادي,Ready to Eat Foods
سلطة سومطرة,Ready to Eat Foods
سلطة زينون,Ready to Eat Foods
سلطة جزر ملفوف,Ready to Eat Foods
سلطة بالفلفل البارد,Ready to Eat Foods
سلطة بالبصل,Ready to Eat Foods
سلطة جبنة فيتا (حارة),Ready to Eat Foods
سلطة جبنة فيتا بالزعتر,Ready to Eat Foods
سلطة جبنة بالخضار (حارة),Ready to Eat Foods
سلطة مرتديلا (لحم - دجاج),Ready to Eat Foods
سلطة الحارة مغلقة,Ready to Eat Foods
سلطة طماطم مخلل,Ready to Eat Foods
سلطة باذنجان بالثوم,Ready to Eat Foods
سلطة باذنجان بالشطة,Ready to Eat Foods
سلطة لبنة خيار,Ready to Eat Foods
سلطة ثبوت (خبز مع لبن),Ready to Eat Foods
سلطة جبنة فيتا سبياسي,Ready to Eat Foods
سلطة مرتديلا دجاج -لحم,Ready to Eat Foods
سلطة مرتيلا (لحم + دجاج),Ready to Eat Foods
سلطة شامية حارة,Ready to Eat Foods
سلطة شامية باردة,Ready to Eat Foods
سلطة بقدونس مع شمندر,Ready to Eat Foods
سلطة قريش,Ready to Eat Foods
سلطة مرتديلا دجاج بالخضار,Ready to Eat Foods
سلطة خس مع زبادي,Ready to Eat Foods
سلطة ملفوف مع بصل و خيار,Ready to Eat Foods
سلطة مكدوس باذنجان,Ready to Eat Foods
اسبيشل سلطة مرتديلا (دجاج + ديك رومي),Ready to Eat Foods
سلطة جلن مكدوس,Ready to Eat Foods
سلطة لبنة ومكدوس,Ready to Eat Foods
سلطة بصل وبقدونس,Ready to Eat Foods
سلطة جبنة وزعتر,Ready to Eat Foods
سلطة جبنة مغربية,Ready to Eat Foods
سلطة جبنة سورية,Ready to Eat Foods
سلطة خيار وفجل,Ready to Eat Foods
سلطة جبنة مفوكة شامية مع توابل,Ready to Eat Foods
سلطة مرتديلا (دجاج + لحم),Ready to Eat Foods
سلطة خيار وجزر,Ready to Eat Foods
سلطة كلوس لو,Ready to Eat Foods
سلطة روكة,Ready to Eat Foods
سلطة كراب,Ready to Eat Foods
سلطة خيار ولبن,Ready to Eat Foods
سلطة طرطور (طحينة و نعناع و شبث),Ready to Eat Foods
سلطة شيرازية,Ready to Eat Foods
سلطة جبنة فيتا سعودي بالزعتر,Ready to Eat Foods
سلطة جبنة فيتا سعودي بالزعتر حار,Ready to Eat Foods
سلطة فواكه كيتو,Ready to Eat Foods
سلطة خضراء كيتو,Ready to Eat Foods
سلطة شمندر بالليمون,Ready to Eat Foods
سلطة طماطم بالقدونس و الباذنجان,Ready to Eat Foods
سلطة اتش (برغل + طماطم),Ready to Eat Foods
سلطة طماطم بارد,Ready to Eat Foods
سلطة مرتديلا مكس (دجاج + لحم),Ready to Eat Foods
سلطة بيتنا,Ready to Eat Foods
سلطة ذرة مع خيار,Ready to Eat Foods
سلطة بقدونس ويصل,Ready to Eat Foods
سلطة جبن فيتا و شيدر,Ready to Eat Foods
سلطة جبن فيتا حار,Ready to Eat Foods
سلطة مفروكة بالزعتر (جبن),Ready to Eat Foods
سلطة جبن فيتا حارة,Ready to Eat Foods
سلطة جبن فيتا زعتر,Ready to Eat Foods
سلطة جبن فيتا حبة البركة,Ready to Eat Foods
سلطة جبن فيتا مكدوس,Ready to Eat Foods
سلطة بقدونس مع بصل,Ready to Eat Foods
سلطة جبنة بدر بحبة البركة,Ready to Eat Foods
سلطة جبنة بدر بالشبت,Ready to Eat Foods
سلطة جبنة بدر بالزعتر,Ready to Eat Foods
سلطة مهروس حار,Ready to Eat Foods
سلطة ملفوف مع خيار,Ready to Eat Foods
سلطة ملفوف احمر,Ready to Eat Foods
سلطة خضراء مع دبس الرمان,Ready to Eat Foods
سلطة جبن مع الفلفل الحار,Ready to Eat Foods
سلطة جبنة بالنعاع,Ready to Eat Foods
سلطة بالمكدوس,Ready to Eat Foods
سلطة مانجا,Ready to Eat Foods
سلطة كازوكي,Ready to Eat Foods
سلطة بيكو,Ready to Eat Foods
سلطة مكس ملفوف,Ready to Eat Foods
سلطة خضراء تهامية,Ready to Eat Foods
سلطة خص وملفوف,Ready to Eat Foods
سلطة ملفوف كولسلو,Ready to Eat Foods
سلطة امي,Ready to Eat Foods
سلطة اجبان خضار حارة,Ready to Eat Foods
سلطة مفروكة حارة,Ready to Eat Foods
سلطة اجبان خضار فلفل,Ready to Eat Foods
سلطة اجبان خضار زعتر,Ready to Eat Foods
سلطة هالي زيتون اخضر,Ready to Eat Foods
سلطة جبن مرتديلا دجاج,Ready to Eat Foods
سلطة باستا ايطالية,Ready to Eat Foods
سلطة تفاح,Ready to Eat Foods
سلطة فجل مع خيار,Ready to Eat Foods
سلطة وكامولي,Ready to Eat Foods
سلطة كلوسلو,Ready to Eat Foods
سلطة ليمون,Ready to Eat Foods
سلطة حب البركة,Ready to Eat Foods
سلطة سبايسي,Ready to Eat Foods
سلطة مرتديلا مكس لحم + دجاج,Ready to Eat Foods
سلطة طحينة,Ready to Eat Foods
سلطة جبنة بارد,Ready to Eat Foods
سلطة جبنة خاصة حارة,Ready to Eat Foods
سلطة فيتا خضار حارة,Ready to Eat Foods
سلطة باذنجان عواقي,Ready to Eat Foods
سلطة كوسلو فيروز جاردن,Ready to Eat Foods
سلطة ملفوف فيروز جاردن,Ready to Eat Foods
سلطة ملفوف تشكن يلب,Ready to Eat Foods
سلطة زيتون شيت نت,Ready to Eat Foods
سلطة تونة فيروز جاردن,Ready to Eat Foods
سلطة فلافل فيروز جاردن,Ready to Eat Foods
سلطة شاورما فيروز جاردن,Ready to Eat Foods
سلطة بيقو ديقالو فيروز جاردن,Ready to Eat Foods
سلطة زيتون بالجزر,Ready to Eat Foods
سلطة زبادي مع خيار و نعناع,Ready to Eat Foods
سلطة جبن مع مكدوس,Ready to Eat Foods
سلطة جبن مشكل خضار,Ready to Eat Foods
سلطة جبن بالشطة,Ready to Eat Foods
سلطة لبنة مع بقدونس وثوم,Ready to Eat Foods
سلطة جبن مع حبة البركة,Ready to Eat Foods
سلطة جزر وخيار ليمون,Ready to Eat Foods
سلطة جرجير رمان,Ready to Eat Foods
سلطة بصل ليمون,Ready to Eat Foods
سلطة خس بقدونس,Ready to Eat Foods
سلطة جبنة بالشطة,Ready to Eat Foods
سلطة جبن حب البركة,Ready to Eat Foods
سلطة تراتو,Ready to Eat Foods
سلطة خضراء ورقي,Ready to Eat Foods
سلطة وك كامبر,Ready to Eat Foods
سلطة جبنة فيتا سعودي سبايسي,Ready to Eat Foods
سلطة جبنة فيتا سعودي,Ready to Eat Foods
كولسلو,Ready to Eat Foods
ايدام لحم,Ready to Eat Foods
ايدام لحم بقري,Ready to Eat Foods
رز,Ready to Eat Foods
الة اعداد الحمص,Environmental Swabs
حافظة اكل دجاج,Environmental Swabs
ايدام بقر,Ready to Eat Foods
دجاج بالعدس حار - مطبوخ,Ready to Eat Foods
ادام لحم بالخضار,Ready to Eat Foods
رز الابيض,Ready to Eat Foods
مصارين محشي رز,Ready to Eat Foods
ايدام مختوم دجاج,Ready to Eat Foods
ايدام دجاج بالبطاطس,Ready to Eat Foods
ساندويتش دجاج بيستو,Ready to Eat Foods
زهرة مشوي,Fruit and Vegetables
حمص مشوي,Fruit and Vegetables
دجاج بامية,Ready to Eat Foods
طرشي,Fruit and Vegetables
ادوات تقديم,Environmental Swabs
ادوات تقديم ٢,Environmental Swabs
اطباق اعداد,Environmental Swabs
اطباق اعداد٢,Environmental Swabs
حافظة الثلج,Environmental Swabs
عجانة موالح,Environmental Swabs
عجانة فطاير,Environmental Swabs
مسحه ثلاجه (2),Environmental Swabs
مسحه ثلاجه (3),Environmental Swabs
بسكويت سمسم,Cereals; Legumes and their Products
نكهة فراولة,Beverages
دبس رمان,"Chocolate, Sweets and their Ingredients"
نكهة فانيلا,Beverages
حلاوة طحينة,Miscellaneous Foods
نكهة باشن فروت,Beverages
صوص شيرة,"Chocolate, Sweets and their Ingredients"
نكهة توت ازرق,Beverages
نكهة رمان,Beverages
نكهة كراميل,Beverages
صوص دبس رمان,"Chocolate, Sweets and their Ingredients"
نكهة خوخ,Beverages
مربى تين,"Jelly, Jam and Marmalade"
مربى مشمش,"Jelly, Jam and Marmalade"
مربى توت,"Jelly, Jam and Marmalade"
نكهة بلو بيري,Beverages
نكهة بطيخ,Beverages
نكهة جح,Beverages
نكهة ليمون,Beverages
نكهة نعناع,Beverages
حلاوة طحينية,Miscellaneous Foods
نكهة توت اسود,Beverages
دبس الرمان,"Chocolate, Sweets and their Ingredients"
طحينة,Miscellaneous Foods
جلي فراولة,"Jelly, Jam and Marmalade"
نكهة بندق,Beverages
نكهة مانجا,Beverages
صوص دبس الرمان,"Chocolate, Sweets and their Ingredients"
حلاوة طحينة بالفستق,Miscellaneous Foods
صوص طحينة,Miscellaneous Foods
نكهة توت احمر,Beverages
شيرة,"Chocolate, Sweets and their Ingredients"
نكهة قصب سكر,Beverages
نكهة كركدية,Beverages
نكهة توت,Beverages
مربى كرز,"Jelly, Jam and Marmalade"
حلاوة طحينة شعر,Miscellaneous Foods
نكهة قشر البرتقال الازرق,Beverages
نكهة قشر البرتقال ازرق,Beverages
نكهة اناناس,Beverages
نكهة جوز الهند,Beverages
مربى قرع,"Jelly, Jam and Marmalade"
نكهة التوت الازرق,Beverages
نكهة مانجو,Beverages
نكهة تفاح اخضر,Beverages
نكهة الباشن فروت,Beverages
نكهة ليمون نعناع,Beverages
نكهة كيوي,Beverages
نكهة قشر برتقال ازرق,Beverages
نكهة الرمان,Beverages
حلاوة طحينية سادة,Miscellaneous Foods
نكهة الورد,Beverages
نكهة توت مشكل,Beverages
نكهة كرز,Beverages
نكهة لي بلو,Beverages
جيلي فراولة,"Jelly, Jam and Marmalade"
نكهة البطيخ,Beverages
نكهة الخوخ,Beverages
نكهة قصب السكر,Beverages
حلاوة طحنية,Miscellaneous Foods
حلاوة طحينية بالفستق,Miscellaneous Foods
دبس تمر,"Chocolate, Sweets and their Ingredients"
نكهة بستاشو,Beverages
نكهة توت البري,Beverages
نكهة قشر البرتقال,Beverages
نكهة توت بري,Beverages
نكهة سكر,Beverages
صوص طحينة حارة,Miscellaneous Foods
صوص دبس الرمان مع السماق,"Chocolate, Sweets and their Ingredients"
دبس رمان - صندوق السعادة,"Chocolate, Sweets and their Ingredients"
نكهة ليموناظة,Beverages
نكهة كراكاو (شبية توت ازرق),Beverages
نكهة كركار (شبية توت ازرق),Beverages
حلاوة طحنية هالي بالفستق,Miscellaneous Foods
نكهة فواكه,Beverages
نكهة ليفندر,Beverages
نكهة ون مليون,Beverages
نكهة ليتشي,Beverages
نكهة ليمون اليوزو,Beverages
شيرة صوص,"Chocolate, Sweets and their Ingredients"
نكهة الباشون,Beverages
نكهة شاهي بنكهة الخوخ,Beverages
نكهة فيمتو,Beverages
نكهة بلاك بيري,Beverages
نكهة تفاح,Beverages
نكهة سيرم,Beverages
نكهة توفي نت,Beverages
حلاوة طحينية عائسي اوريو,Miscellaneous Foods
حلاوة طحنية بالمكسرات,Miscellaneous Foods
صوص دبس,"Chocolate, Sweets and their Ingredients"
صوص دبس الرمان (فتوش),"Chocolate, Sweets and their Ingredients"
حلاوة طحينية ابو نار,Miscellaneous Foods
حلاوة طحينية لدو,Miscellaneous Foods
نكهة فروت باشون,Beverages
صوص مربى ورد,"Jelly, Jam and Marmalade"
نكهة سكر طبيعي,Beverages
نكهة ماتشا,Beverages
نكهة سيريل,Beverages
نكهة سيجنتشر,Beverages
نكهة باشن برتقال,Beverages
نكهة يوزو,Beverages
نكهة التوت الاحمر,Beverages
نكهة نعناع البري,Beverages
حلاوة طحينية شعر,Miscellaneous Foods
نكهة توت احمر م - ك,Beverages
صوص دبس الرمان عنبة,"Chocolate, Sweets and their Ingredients"
صوص شيرة قشطية,"Chocolate, Sweets and their Ingredients"
نكهة شاهي ليمون,Beverages
نكهة سينامون,Beverages
نكهة ورد,Beverages
صوص دبس رمان معلب,"Chocolate, Sweets and their Ingredients"
مربى باذنجان,"Jelly, Jam and Marmalade"
مربى شكلين,"Jelly, Jam and Marmalade"
مربى يقطين,"Jelly, Jam and Marmalade"
مربى تين شوكي,"Jelly, Jam and Marmalade"
دبس رمان معلب,"Chocolate, Sweets and their Ingredients"
دبس فليفلة حلوة,"Chocolate, Sweets and their Ingredients"
دبس فليفلة حار,"Chocolate, Sweets and their Ingredients"
نكهة فراولة مع قطع فراولة,Beverages
نكهة مابل,Beverages
حلاوة طحنية شوكليت,Miscellaneous Foods
حلاوة طحينة شوكليت,Miscellaneous Foods
نكهة البرتقال الازرق,Beverages
مربى مانجا,"Jelly, Jam and Marmalade"
طحينة حارة,Miscellaneous Foods
مربى بلو بيري,"Jelly, Jam and Marmalade"
صوص مربى فراولة,"Jelly, Jam and Marmalade"
نكهة قصب,Beverages
نكهة مكس توت وفراولة,Beverages
نكهة مي بول,Beverages
مربى توت مشكل,"Jelly, Jam and Marmalade"
دبس رمان مع حب,"Chocolate, Sweets and their Ingredients"
صوص سبايسي طحينة,Miscellaneous Foods
صوص طحينة مع كزبرة,Miscellaneous Foods
نكهة روز بيري,Beverages
نكهة نعناع مع ليمون اخضر,Beverages
نكهة قرع,Beverages
نكهة فانيلا مع قصب سكر,Beverages
